neuronId,neuronName,className
1,ADAL,ADA
2,ADAR,ADA
3,ADEL,ADE
4,ADER,ADE
5,ADFL,ADF
6,ADFR,ADF
7,ADLL,ADL
8,ADLR,ADL
9,AFDL,AFD
10,AFDR,AFD
11,AIAL,AIA
12,AIAR,AIA
13,AIBL,AIB
14,AIBR,AIB
15,AIML,AIM
16,AIMR,AIM
17,AINL,AIN
18,AINR,AIN
19,AIYL,AIY
20,AIYR,AIY
21,AIZL,AIZ
22,AIZR,AIZ
23,ALA,ALA
24,ALML,ALM
25,ALMR,ALM
26,ALNL,ALN
27,ALNR,ALN
28,AQR,AQR
29,AS01,AS
30,AS02,AS
31,AS03,AS
32,AS04,AS
33,AS05,AS
34,AS06,AS
35,AS07,AS
36,AS08,AS
37,AS09,AS
38,AS10,AS
39,AS11,AS
40,ASEL,ASE
41,ASER,ASE
42,ASGL,ASG
43,ASGR,ASG
44,ASHL,ASH
45,ASHR,ASH
46,ASIL,ASI
47,ASIR,ASI
48,ASJL,ASJ
49,ASJR,ASJ
50,ASKL,ASK
51,ASKR,ASK
52,AUAL,AUA
53,AUAR,AUA
54,AVAL,AVA
55,AVAR,AVA
56,AVBL,AVB
57,AVBR,AVB
58,AVDL,AVD
59,AVDR,AVD
60,AVEL,AVE
61,AVER,AVE
62,AVFL,AVF
63,AVFR,AVF
64,AVG,AVG
65,AVHL,AVH
66,AVHR,AVH
67,AVJL,AVJ
68,AVJR,AVJ
69,AVKL,AVK
70,AVKR,AVK
71,AVL,AVL
72,AVM,AVM
73,AWAL,AWA
74,AWAR,AWA
75,AWBL,AWB
76,AWBR,AWB
77,AWCL,AWC
78,AWCR,AWC
79,BAGL,BAG
80,BAGR,BAG
81,BDUL,BDU
82,BDUR,BDU
83,CANL,CAN
84,CANR,CAN
85,CEPDL,CEP
86,CEPDR,CEP
87,CEPVL,CEP
88,CEPVR,CEP
89,DA01,DA
90,DA02,DA
91,DA03,DA
92,DA04,DA
93,DA05,DA
94,DA06,DA
95,DA07,DA
96,DA08,DA
97,DA09,DA
98,DB01,DB
99,DB02,DB
100,DB03,DB
101,DB04,DB
102,DB05,DB
103,DB06,DB
104,DB07,DB
105,DD01,DD
106,DD02,DD
107,DD03,DD
108,DD04,DD
109,DD05,DD
110,DD06,DD
111,DVA,DVA
112,DVB,DVB
113,DVC,DVC
114,FLPL,FLP
115,FLPR,FLP
116,HSNL,HSN
117,HSNR,HSN
118,I1L,I1
119,I1R,I1
120,I2L,I2
121,I2R,I2
122,I3,I3
123,I4,I4
124,I5,I5
125,I6,I6
126,IL1DL,IL1
127,IL1DR,IL1
128,IL1VL,IL1
129,IL1VR,IL1
130,IL1L,IL1
131,IL1R,IL1
132,IL2DL,IL2
133,IL2DR,IL2
134,IL2VL,IL2
135,IL2VR,IL2
136,IL2L,IL2
137,IL2R,IL2
138,LUAL,LUA
139,LUAR,LUA
140,M1,M1
141,M2L,M2
142,M2R,M2
143,M3L,M3
144,M3R,M3
145,M4,M4
146,M5,M5
147,MCL,MC
148,MCR,MC
149,MI,MI
150,NSML,NSM
151,NSMR,NSM
152,OLLL,OLL
153,OLLR,OLL
