connectomeId,numOfEdges,edgeTypeName,neuronReceiver,neuronSender
1,1,syn,I1L,I3
2,1,syn,I1R,I3
3,1,syn,I6,I3
4,1,syn,I6,I2L
5,1,syn,I6,I2R
6,1,syn,I6,NSML
7,1,syn,I6,NSMR
8,1,syn,M1,I3
9,1,syn,M1,I2L
10,1,syn,M1,I2R
11,1,syn,M1,I5
12,1,syn,M1,I1L
13,1,syn,M1,I1R
14,1,syn,M1,M5
15,1,syn,M1,MI
16,1,syn,M1,I4
17,1,syn,M1,M4
18,1,syn,M2L,I3
19,1,syn,M2L,I1L
20,1,syn,M2L,I1R
21,1,syn,M2L,MI
22,3,syn,ADFL,ASHL
23,9,syn,ADFL,AWBL
24,1,syn,M2R,I3
25,1,syn,M2R,I1L
26,1,syn,M2R,I1R
27,1,syn,M2R,MI
28,1,syn,ADFR,AIYR
29,1,syn,ADFR,ASEL
30,2,syn,ADFR,ASHR
31,3,syn,ADFR,AVHL
32,3,syn,ADFR,AWAR
33,4,syn,ADFR,AWBR
34,1,syn,ADFR,PVPR
35,1,syn,ADFR,RIH
36,1,syn,M3L,I3
37,1,syn,M3L,M1
38,1,syn,M3L,I5
39,1,syn,M3L,I1L
40,1,syn,M3L,I1R
41,1,syn,M3L,MI
42,1,syn,M3L,NSML
43,1,syn,M3L,NSMR
44,1,syn,M3L,I4
45,1,syn,M3L,I6
46,1,syn,ADLL,AVHR
47,1,syn,ADLL,CEPVL
48,1,syn,ADLL,SDQR
49,1,syn,M3R,I3
50,1,syn,M3R,M1
51,1,syn,M3R,I5
52,1,syn,M3R,I1L
53,1,syn,M3R,I1R
54,1,syn,M3R,MI
55,1,syn,M3R,NSML
56,1,syn,M3R,NSMR
57,1,syn,M3R,I4
58,1,syn,M3R,I6
59,2,syn,ADLR,AIAR
60,2,syn,ADLR,AVHR
61,1,syn,M4,I3
62,1,syn,M4,I5
63,1,syn,M4,NSML
64,1,syn,M4,NSMR
65,1,syn,M4,I6
66,4,syn,AFDL,AINR
67,2,syn,AFDL,ASER
68,5,syn,AFDL,AWAL
69,1,syn,MCL,I3
70,1,syn,MCL,M1
71,1,syn,MCL,I2L
72,1,syn,MCL,I2R
73,1,syn,MCL,I1L
74,1,syn,MCL,I1R
75,5,syn,AFDR,AINL
76,1,syn,AFDR,AINR
77,2,syn,AFDR,ASER
78,7,syn,AFDR,AWAR
79,1,syn,AFDR,RIR
80,1,syn,MCR,I3
81,1,syn,MCR,M1
82,1,syn,MCR,I1L
83,1,syn,MCR,I1R
84,1,syn,NSML,I3
85,1,syn,NSML,I2L
86,1,syn,NSML,I2R
87,1,syn,NSML,I5
88,1,syn,NSML,I1L
89,1,syn,NSML,I1R
90,1,syn,NSML,I4
91,1,syn,NSML,I6
92,1,syn,NSMR,I3
93,1,syn,NSMR,I2L
94,1,syn,NSMR,I2R
95,1,syn,NSMR,I5
96,1,syn,NSMR,I1L
97,1,syn,NSMR,I1R
98,1,syn,NSMR,I4
99,1,syn,NSMR,I6
100,1,syn,IL1L,ADEL
101,1,syn,IL1L,IL1VL
102,1,syn,IL1L,IL2L
103,1,syn,IL1L,URBL
104,2,syn,IL2L,ADEL
105,1,syn,IL2L,IL2VL
106,2,syn,IL2L,RIH
107,2,syn,OLLL,ADEL
108,2,syn,OLLL,CEPDL
109,4,syn,OLLL,CEPVL
110,1,syn,OLLL,SAADR
111,1,syn,CEPDL,ADEL
112,3,syn,CEPDL,ALML
113,3,syn,CEPDL,OLLL
114,1,syn,CEPDL,RIH
115,1,syn,CEPDL,RMGL
116,1,syn,CEPDL,URBL
117,2,syn,OLLR,ADER
118,1,syn,OLLR,ADLR
119,8,syn,OLLR,CEPDR
120,7,syn,OLLR,CEPVR
121,2,syn,OLLR,IL2R
122,1,syn,OLLR,RIS
123,2,syn,OLLR,RMDL
124,1,syn,OLLR,SAAVL
125,1,syn,OLLR,VC05
126,1,syn,CEPDR,ADER
127,1,syn,CEPDR,ALMR
128,1,syn,CEPDR,IL2DR
129,2,syn,CEPDR,OLLR
130,1,syn,CEPDR,RIH
131,1,syn,CEPDR,RIS
132,1,syn,CEPDR,URBR
133,1,syn,OLQVL,ADFL
134,1,syn,OLQVL,ADLL
135,6,syn,OLQVL,CEPVL
136,1,syn,OLQVL,IL2VL
137,8,syn,OLQVL,IL2L
138,1,syn,OLQVL,RIH
139,1,syn,ASHR,ADFR
140,3,syn,ASHR,ADLR
141,1,syn,ASHR,ASIR
142,2,syn,ASHR,AWBR
143,2,syn,ASHR,HSNL
144,1,syn,ASHR,PVPR
145,2,syn,ASHR,RIFR
146,1,syn,ASHR,RMGR
147,1,syn,AWBR,ADFR
148,1,syn,AWBR,AVHL
149,1,syn,AWBR,AWAR
150,2,syn,AWBR,HSNL
151,1,syn,AWBR,RIR
152,3,syn,ASER,ADLL
153,1,syn,ASER,ADLR
154,1,syn,ASER,AFDR
155,3,syn,ASER,AIAL
156,1,syn,ASER,AIAR
157,1,syn,ASER,AIBL
158,2,syn,ASER,AINR
159,1,syn,ASER,ASIL
160,2,syn,ASER,AWAR
161,1,syn,ASER,PVQR
162,2,syn,ASHL,ADLL
163,1,syn,ASHL,AIAL
164,1,syn,ASHL,HSNL
165,2,syn,ASHL,HSNR
166,1,syn,ASHL,RMGL
167,1,syn,ASHL,URXL
168,2,syn,AWBL,ADLL
169,1,syn,AWBL,AWAL
170,2,syn,AWBL,HSNL
171,1,syn,AWBL,HSNR
172,3,syn,AWCR,ADLR
173,1,syn,AWCR,AIAL
174,3,syn,AWCR,AIAR
175,1,syn,AWCR,AIYL
176,1,syn,AWCR,ASEL
177,1,syn,AWCR,ASER
178,2,syn,AWCR,ASIL
179,2,syn,AWCR,ASIR
180,1,syn,AWCR,AWCL
181,1,syn,ASGL,AIAL
182,2,syn,ASGL,AIML
183,1,syn,ASGL,AWAL
184,3,syn,ASKL,AIAL
185,2,syn,ASKL,AIML
186,1,syn,ASKL,ASGL
187,1,syn,ASKL,ASHL
188,2,syn,ASKL,ASIL
189,4,syn,ASKL,ASJL
190,1,syn,ASKL,AVFR
191,1,syn,ASKL,HSNL
192,4,syn,ASKL,PVQL
193,2,syn,ASGR,AIAR
194,2,syn,ASGR,AIMR
195,1,syn,ASGR,AINL
196,1,syn,ASGR,AWBR
197,1,syn,ASGR,AWCR
198,1,syn,ASGR,CEPVR
199,1,syn,AWAR,AIAR
200,1,syn,AWAR,AIYR
201,1,syn,AWAR,ASER
202,1,syn,AWAR,ASKR
203,2,syn,AWAR,PVQR
204,3,syn,ASEL,AINL
205,1,syn,ASEL,AINR
206,1,syn,ASEL,AIZL
207,2,syn,ASEL,ASIR
208,4,syn,ASEL,AWAL
209,1,syn,ASEL,AWAR
210,1,syn,ASEL,AWCL
211,1,syn,ASEL,AWCR
212,1,syn,AWCL,AIAR
213,1,syn,AWCL,AIYL
214,4,syn,AWCL,ASEL
215,1,syn,AWCL,ASER
216,2,syn,AWCL,ASIL
217,1,syn,AWCL,ASIR
218,5,syn,AWCL,AWCR
219,1,syn,I2L,M1
